A000178861W,KARAMA MAHFUDH BREK ATHMAN,KRAMW019202207043370,02/05/2026,|0190433700000033286,ETIMS/TIMS sales,155100.00
P051188806D,QUICK MART LIMITED,KRAMW019202207043370,02/05/2026,|0190433700000033288,ETIMS/TIMS sales,72000.00
P051522497N,MAJID AL FUTTAIM HYPERMARKETS LIMITED,KRAMW019202207043370,02/05/2026,|0190433700000033290,ETIMS/TIMS sales,25920.00
P051522497N,MAJID AL FUTTAIM HYPERMARKETS LIMITED,KRAMW019202207043370,02/05/2026,|0190433700000033291,ETIMS/TIMS sales,16000.00
P051504774L,MAGUNAS SUPER STORE (K) LIMITED,KRAMW019202207043370,02/05/2026,|0190433700000033292,ETIMS/TIMS sales,49100.00
P051188806D,QUICK MART LIMITED,KRAMW019202207043370,02/05/2026,|0190433700000033293,ETIMS/TIMS sales,126300.00
P051188806D,QUICK MART LIMITED,KRAMW019202207043370,02/05/2026,|0190433700000033294,ETIMS/TIMS sales,90825.00
P051188806D,QUICK MART LIMITED,KRAMW019202207043370,02/05/2026,|0190433700000033295,ETIMS/TIMS sales,101300.00
P051188806D,QUICK MART LIMITED,KRAMW019202207043370,02/05/2026,|0190433700000033296,ETIMS/TIMS sales,32000.00
P051188806D,QUICK MART LIMITED,KRAMW019202207043370,02/05/2026,|0190433700000033297,ETIMS/TIMS sales,109725.00
P051118598P,Mahitaji Enterprises Limited,KRAMW019202207043370,02/05/2026,|0190433700000033299,ETIMS/TIMS sales,-33900.00
P051118598P,Mahitaji Enterprises Limited,KRAMW019202207043370,02/05/2026,|0190433700000033300,ETIMS/TIMS sales,-49000.00
P051651318S,Munch 254 Limited,KRAMW019202207043370,02/05/2026,|0190433700000033302,ETIMS/TIMS sales,17625.00
P051229512W,Eedi Kenya Limited,KRAMW019202207043370,02/05/2026,|0190433700000033303,ETIMS/TIMS sales,1636900.00
P051188806D,QUICK MART LIMITED,KRAMW019202207043370,04/05/2026,|0190433700000033304,ETIMS/TIMS sales,24000.00
P051188806D,QUICK MART LIMITED,KRAMW019202207043370,04/05/2026,|0190433700000033305,ETIMS/TIMS sales,91250.00
P051188806D,QUICK MART LIMITED,KRAMW019202207043370,04/05/2026,|0190433700000033306,ETIMS/TIMS sales,64000.00
P051188806D,QUICK MART LIMITED,KRAMW019202207043370,04/05/2026,|0190433700000033308,ETIMS/TIMS sales,102250.00
P000601772P,Chandarana Supermarket Limited,KRAMW019202207043370,04/05/2026,|0190433700000033309,ETIMS/TIMS sales,7600.00
P051188806D,QUICK MART LIMITED,KRAMW019202207043370,04/05/2026,|0190433700000033310,ETIMS/TIMS sales,16000.00
P051188806D,QUICK MART LIMITED,KRAMW019202207043370,04/05/2026,|0190433700000033312,ETIMS/TIMS sales,86050.00
P051188806D,QUICK MART LIMITED,KRAMW019202207043370,04/05/2026,|0190433700000033313,ETIMS/TIMS sales,32000.00
P051188806D,QUICK MART LIMITED,KRAMW019202207043370,04/05/2026,|0190433700000033314,ETIMS/TIMS sales,37450.00
P051188806D,QUICK MART LIMITED,KRAMW019202207043370,04/05/2026,|0190433700000033315,ETIMS/TIMS sales,5300.00
P051188806D,QUICK MART LIMITED,KRAMW019202207043370,04/05/2026,|0190433700000033316,ETIMS/TIMS sales,31800.00
P051188806D,QUICK MART LIMITED,KRAMW019202207043370,04/05/2026,|0190433700000033317,ETIMS/TIMS sales,250925.00
P051188806D,QUICK MART LIMITED,KRAMW019202207043370,04/05/2026,|0190433700000033318,ETIMS/TIMS sales,89050.00
P051188806D,QUICK MART LIMITED,KRAMW019202207043370,04/05/2026,|0190433700000033319,ETIMS/TIMS sales,45850.00
P051188806D,QUICK MART LIMITED,KRAMW019202207043370,04/05/2026,|0190433700000033321,ETIMS/TIMS sales,34900.00
P051188806D,QUICK MART LIMITED,KRAMW019202207043370,04/05/2026,|0190433700000033322,ETIMS/TIMS sales,50900.00
P051188806D,QUICK MART LIMITED,KRAMW019202207043370,04/05/2026,|0190433700000033323,ETIMS/TIMS sales,115100.00
P051188806D,QUICK MART LIMITED,KRAMW019202207043370,04/05/2026,|0190433700000033324,ETIMS/TIMS sales,49325.00
P051188806D,QUICK MART LIMITED,KRAMW019202207043370,04/05/2026,|0190433700000033325,ETIMS/TIMS sales,382250.00
P051188806D,QUICK MART LIMITED,KRAMW019202207043370,04/05/2026,|0190433700000033326,ETIMS/TIMS sales,45450.00
P051188806D,QUICK MART LIMITED,KRAMW019202207043370,04/05/2026,|0190433700000033327,ETIMS/TIMS sales,83525.00
P051188806D,QUICK MART LIMITED,KRAMW019202207043370,04/05/2026,|0190433700000033328,ETIMS/TIMS sales,32000.00
P051188806D,QUICK MART LIMITED,KRAMW019202207043370,04/05/2026,|0190433700000033329,ETIMS/TIMS sales,160000.00
P051188806D,QUICK MART LIMITED,KRAMW019202207043370,04/05/2026,|0190433700000033330,ETIMS/TIMS sales,60900.00
P051188806D,QUICK MART LIMITED,KRAMW019202207043370,04/05/2026,|0190433700000033331,ETIMS/TIMS sales,40000.00
P051188806D,QUICK MART LIMITED,KRAMW019202207043370,04/05/2026,|0190433700000033332,ETIMS/TIMS sales,117200.00
P051188806D,QUICK MART LIMITED,KRAMW019202207043370,04/05/2026,|0190433700000033333,ETIMS/TIMS sales,16000.00
P051188806D,QUICK MART LIMITED,KRAMW019202207043370,04/05/2026,|0190433700000033334,ETIMS/TIMS sales,87500.00
P051188806D,QUICK MART LIMITED,KRAMW019202207043370,04/05/2026,|0190433700000033337,ETIMS/TIMS sales,29350.00
P051188806D,QUICK MART LIMITED,KRAMW019202207043370,04/05/2026,|0190433700000033338,ETIMS/TIMS sales,109700.00
P051345406W,Cafesserie Limited,KRAMW019202207043370,04/05/2026,|0190433700000033339,ETIMS/TIMS sales,18300.00
P051188806D,QUICK MART LIMITED,KRAMW019202207043370,04/05/2026,|0190433700000033340,ETIMS/TIMS sales,62250.00
P051188806D,QUICK MART LIMITED,KRAMW019202207043370,04/05/2026,|0190433700000033341,ETIMS/TIMS sales,164125.00
P051188806D,QUICK MART LIMITED,KRAMW019202207043370,04/05/2026,|0190433700000033342,ETIMS/TIMS sales,54400.00
P051188806D,QUICK MART LIMITED,KRAMW019202207043370,04/05/2026,|0190433700000033343,ETIMS/TIMS sales,144000.00
P051522497N,MAJID AL FUTTAIM HYPERMARKETS LIMITED,KRAMW019202207043370,04/05/2026,|0190433700000033344,ETIMS/TIMS sales,35550.00
P051123223G,NAIVAS LIMITED,KRAMW019202207043370,04/05/2026,|0190433700000033345,ETIMS/TIMS sales,203203.00
P051188806D,QUICK MART LIMITED,KRAMW019202207043370,04/05/2026,|0190433700000033346,ETIMS/TIMS sales,64000.00
P051100907F,PANDYA MEMORIAL HOSPITAL,KRAMW019202207043370,04/05/2026,|0190433700000033347,ETIMS/TIMS sales,33000.00
P051522497N,MAJID AL FUTTAIM HYPERMARKETS LIMITED,KRAMW019202207043370,04/05/2026,|0190433700000033352,ETIMS/TIMS sales,40400.00
P051522497N,MAJID AL FUTTAIM HYPERMARKETS LIMITED,KRAMW019202207043370,04/05/2026,|0190433700000033353,ETIMS/TIMS sales,46250.00
P051522497N,MAJID AL FUTTAIM HYPERMARKETS LIMITED,KRAMW019202207043370,04/05/2026,|0190433700000033354,ETIMS/TIMS sales,48000.00
P051522497N,MAJID AL FUTTAIM HYPERMARKETS LIMITED,KRAMW019202207043370,04/05/2026,|0190433700000033355,ETIMS/TIMS sales,59550.00
P051522497N,MAJID AL FUTTAIM HYPERMARKETS LIMITED,KRAMW019202207043370,04/05/2026,|0190433700000033358,ETIMS/TIMS sales,8000.00
P051522497N,MAJID AL FUTTAIM HYPERMARKETS LIMITED,KRAMW019202207043370,04/05/2026,|0190433700000033359,ETIMS/TIMS sales,24000.00
P051522497N,MAJID AL FUTTAIM HYPERMARKETS LIMITED,KRAMW019202207043370,04/05/2026,|0190433700000033360,ETIMS/TIMS sales,8000.00
P051522497N,MAJID AL FUTTAIM HYPERMARKETS LIMITED,KRAMW019202207043370,04/05/2026,|0190433700000033361,ETIMS/TIMS sales,8000.00
P051522497N,MAJID AL FUTTAIM HYPERMARKETS LIMITED,KRAMW019202207043370,04/05/2026,|0190433700000033362,ETIMS/TIMS sales,16000.00
